Post,Company,Experience,Level,Salary,Deadline
Territory Sales Coordinator (Mobile Phone),ZTE Nepal,Less than 2 years,Entry Level,Not Disclosed,2026-01-21
Content Creator,Camel Electric Motorcycle Technology,More than 3 years,Mid Level,"NRs. 50,000 Monthly",2026-01-21
Primary School Incharge,A School,More than 3 years,Mid Level,Not Disclosed,2026-01-21
IELTS / PTE Instructor,Goreto Educational Consultancy,More than 1 year,Mid Level,Not Disclosed,2026-01-21
Counselor (Australia),Goreto Educational Consultancy,More than 2 years,Mid Level,"NRs. 70,000 - 90,000 Monthly",2026-01-21
Counselor (UK),Goreto Educational Consultancy,More than 2 years,Mid Level,"NRs. 70,000 - 90,000 Monthly",2026-01-21
Agriculture Technical Officer – Regenerative Agriculture and Permaculture,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 50,000 - 70,000 Monthly",2026-01-21
Program Manager,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 60,000 - 90,000 Monthly",2026-01-21
Sales Executive,Prosetech Solutions,Not Required,Entry Level,"NRs. 20,000 Monthly",2026-01-22
Housekeeping Manager (Hygiene and Sanitation),KIST Medical College & Teaching Hospital,More than 2 years,Mid Level,Not Disclosed,2026-01-22
Site Engineer - Jajarkot & Rukum West,Build up Nepal,More than 2 years,Mid Level,Not Disclosed,2026-01-22
Operations Coordinator,Aurelia Projects,More than 2 years,Entry Level,"NRs. 35,000 - 50,000 Monthly",2026-01-22
Marketing Manager,AIP Education,More than 5 years,Senior Level,Not Disclosed,2026-01-22
Finance Head,AIP Education,More than 5 years,Senior Level,Not Disclosed,2026-01-22
Application Officer,B.S.R. Biotech,Not Required,Entry Level,Not Disclosed,2026-01-22
Site Civil Engineer,Milarepa Energy,More than 4 years,Mid Level,Not Disclosed,2026-01-22
Secondary Level Teacher,Nepal Police School (Belchautara),More than 2 years,Mid Level,Not Disclosed,2026-01-22
HR Manager,SG Design Nepal,More than 4 years,Senior Level,Not Disclosed,2026-01-23
Travel Sales Consultant,Young Edsplorer,More than 2 years,Mid Level,"NRs. 40,000 Monthly",2026-01-23
Business Development Executive,A Reputed Company,More than 3 years,Senior Level,"NRs. 800,000 - 1,000,000 Yearly",2026-01-23
SEO Expert,Ghothane Lawyers,More than 1 year,Mid Level,Not Disclosed,2026-01-23
Office Secretary,Ghothane Lawyers,More than 1 year,Mid Level,Not Disclosed,2026-01-23
Content Writer,Ghothane Lawyers,More than 2 years,Mid Level,Not Disclosed,2026-01-23
Counselor,American Educational Research & Training Center,More than 2 years,Mid Level,Not Disclosed,2026-01-23
Computer Hardware and Network Assistant,Millsberry School,More than 3 years,Mid Level,Not Disclosed,2026-01-23
Admin Assistant - Store,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-01-23
Accountant,EuroKids International,More than 1 year,Mid Level,Not Disclosed,2026-01-23
Corporate IT Head,Professional Holdings Limited (PHL),More than 3 years,Senior Level,Not Disclosed,2026-01-23
Program Admin Officer,Global College Of Technology,More than 1 year,Mid Level,Not Disclosed,2026-01-23
Social Media Handler,Discovery World Trekking,More than 2 years,Mid Level,Not Disclosed,2026-01-23
Social Media Marketing Officer,Mero Coding Class,More than 1 year,Mid Level,Not Disclosed,2026-01-23
Admin and Document Controller,A Manpower Company,More than 2 years,Mid Level,Not Disclosed,2026-01-24
Residential Health Assistant,Executive Search- Merojob,More than 1 year,Entry Level,Not Disclosed,2026-01-24
Residential Psychiatric Nurse,Executive Search- Merojob,More than 1 year,Entry Level,Not Disclosed,2026-01-24
Senior Backend Engineer,Global Corporate Tech,More than 2 years,Senior Level,"NRs. 55,000 - 75,000 Monthly",2026-01-24
Lead – Branding and Marketing,Brilliant,More than 5 years,Senior Level,Not Disclosed,2026-01-24
Senior Counselor,Education Asia,More than 1 year,Senior Level,"NRs. 60,000 - 75,000 Monthly",2026-01-24
Technical Quality Facilitators,Sustainable WASH for All (SusWA),More than or equal to 5 years,Mid Level,Not Disclosed,2026-01-24
Territory Sales Officer,Apollo Paints,More than 1 year,Mid Level,Not Disclosed,2026-01-26
Public Relations Officer (PRO),Interpid Recruitment Services,More than 1 year,Mid Level,Not Disclosed,2026-01-26
Document Controller - Head,Interpid Recruitment Services,More than 3 years,Mid Level,Not Disclosed,2026-01-26
Social Teacher,Bodhisattva Vihara (BV),More than 1 year,Mid Level,"NRs. 20,000 - 25,000 Monthly",2026-01-26
Interior Designer – Project Management,House of Shakya Interior & Construction,More than 3 years,Mid Level,Not Disclosed,2026-01-26
Senior Architect - Design Development and Project Execution,House of Shakya Interior & Construction,More than 5 years,Senior Level,Not Disclosed,2026-01-26
Advisor,GIZ,More than 5 years,Senior Level,Not Disclosed,2026-01-26
Partnership Advisor,GIZ,More than 3 years,Mid Level,Not Disclosed,2026-01-26
Agriculture Technical Officer – Regenerative Agriculture and Permaculture,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 50,000 - 70,000 Monthly",2026-01-26
Program Manager,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 60,000 - 90,000 Monthly",2026-01-26
School Teacher,Ace School,More than 2 years,Mid Level,Not Disclosed,2026-01-26
Product Manager,A Company,More than 3 years,Senior Level,"NRs. 250,000 - 350,000 Monthly",2026-01-27
Sales Manager,Yuwarani Agro Industries,More than 5 years,Senior Level,Not Disclosed,2026-01-27
Area Sales Manager,Yuwarani Agro Industries,More than 4 years,Senior Level,Not Disclosed,2026-01-27
Assistant Sales Manager,Yuwarani Agro Industries,More than 3 years,Mid Level,Not Disclosed,2026-01-27
Marketing Manager,Yuwarani Agro Industries,More than 5 years,Senior Level,Not Disclosed,2026-01-27
HR Manager,Yuwarani Agro Industries,More than 5 years,Senior Level,Not Disclosed,2026-01-27
Finance Manager,Yuwarani Agro Industries,More than 5 years,Senior Level,Not Disclosed,2026-01-27
Receptionist,Yuwarani Agro Industries,More than 2 years,Mid Level,Not Disclosed,2026-01-27
Marketing Executive,A Reputed Company,More than 1 year,Mid Level,Not Disclosed,2026-01-27
Marketing Manager,A Reputed Company,More than 5 years,Senior Level,Not Disclosed,2026-01-27
Field Sales Representatives,Executive Search- Merojob,More than 1 year,Entry Level,Not Disclosed,2026-01-27
Customer Experience and Operations Manager,Velonepa Services,More than 3 years,Mid Level,"NRs. 55,000 - 65,000 Monthly",2026-01-27
Junior Network Engineer,The British College,More than 2 years,Mid Level,Not Disclosed,2026-01-27
Sales Executive,Alamkara Jewels,Not Required,Entry Level,Not Disclosed,2026-01-27
Programme Officer - Local Political Economy,DT Global International Development UK,More than 3 years,Senior Level,Not Disclosed,2026-01-27
Operations Manager,Velonepa Services,More than 3 years,Mid Level,"NRs. 55,000 - 65,000 Monthly",2026-01-27
Chief Credit Officer (Deputy General Manager),Jyoti Bikash Bank,More than 15 years,Top Level,Not Disclosed,2026-01-27
Housekeeping Manager (Hygiene and Sanitation),KIST Medical College & Teaching Hospital,More than 2 years,Mid Level,Not Disclosed,2026-01-27
Programme Officer,DT Global International Development UK,More than 3 years,Senior Level,Not Disclosed,2026-01-27
IT Officer,River Group,More than 3 years,Mid Level,"NRs. 35,000 - 55,000 Monthly",2026-01-28
Assistant Finance Manager,Sherpa Hospitality Group,More than 3 years,Mid Level,Not Disclosed,2026-01-28
Content Creator,Executive Search- Merojob,Equal to 1 year,Entry Level,Not Disclosed,2026-01-28
Senior Academic Coordinator,The Gurukulam School,More than 5 years,Senior Level,Not Disclosed,2026-01-28
Senior Graphic Designer,Empire Sports Management,More than 5 years,Senior Level,Not Disclosed,2026-01-28
Chartered Accountant (CA),Empire Sports Management,More than 1 year,Mid Level,Not Disclosed,2026-01-28
Java Backend Developer,Tech Company,More than 6 years,Senior Level,Not Disclosed,2026-01-28
Exam Co-Ordinator,A College,More than 5 years,Mid Level,"NRs. 50,000 Monthly",2026-01-28
Sr. HR Officer,A Hospital,More than 5 years,Senior Level,"NRs. 50,000 Monthly",2026-01-28
Senior Audit Officer,Bayar Hughes Consulting Private Limited,Equal to 3 years,Senior Level,Not Disclosed,2026-01-29
Senior Account Officer,Bayar Hughes Consulting Private Limited,Equal to 3 years,Mid Level,Not Disclosed,2026-01-29
Senior Tax Officer,Bayar Hughes Consulting Private Limited,More than 3 years,Senior Level,Not Disclosed,2026-01-29
MYP Language and Literature Teacher (English- IB Design),Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
MYP Individuals and Societies (Samajik Shikshya) Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
MYP Design / Computer Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
PYP Nepali Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
PYP Language and Literature Teacher (English),Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
PYP Math and Science Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
Futsal Coach,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
Fine Arts Teacher,Euro School Hattigauda,Not Required,Mid Level,Not Disclosed,2026-01-29
PE Coach / Physical Education Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
Theatre / Drama Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-01-29
Senior HR and Admin Officer,Gabion Wiretech,More than 5 years,Senior Level,"NRs. 400,000 - 700,000 Yearly",2026-01-29
Structural Engineer,ArkNova Structures,More than 1 year,Mid Level,Not Disclosed,2026-01-29
Economic Governance Advisor,GIZ,More than 5 years,Mid Level,Not Disclosed,2026-01-30
Field / Business Officer,Prabhu Steel and Hydro Investment Company Limited,More than 2 years,Mid Level,Not Disclosed,2026-01-31
Economic Governance Advisor,GIZ,More than 5 years,Senior Level,Not Disclosed,2026-01-31
Accountant,JB Enterprises,More than 2 years,Mid Level,"NRs. 30,000 - 35,000 Monthly",2026-01-31
Digital Media Intern,Popeye Studios,Not Required,Entry Level,Not Disclosed,2026-01-31
Quantity Surveyor,Soaltee Westend Resort Nagarkot,More than 5 years,Senior Level,Not Disclosed,2026-01-31
Draftsman,Soaltee Westend Resort Nagarkot,More than 4 years,Mid Level,Not Disclosed,2026-01-31
Direct Marketing Officer,The Westminster College,More than 2 years,Mid Level,Not Disclosed,2026-01-31
Senior Linux Infrastructure Engineer,Simjung,More than 5 years,Senior Level,Not Disclosed,2026-01-31
QA Automation Engineer (Python),Simjung,More than 3 years,Mid Level,Not Disclosed,2026-01-31
Accounts and Inventory Officer,E-Spot Nepal,More than 2 years,Mid Level,Not Disclosed,2026-01-31
Business Officer,Prabhu Steel and Hydro Investment Company Limited,More than 2 years,Mid Level,Not Disclosed,2026-01-31
Structural Designer / Drafter - Revit,Himalayan Ridge Engineering,More than 3 years,Mid Level,"NRs. 70,000 Monthly",2026-01-31
Secondary Level Teacher,Nepal Police School (Belchautara),More than 2 years,Mid Level,Not Disclosed,2026-01-31
Project Officer,Sneha's Care,More than 2 years,Mid Level,Not Disclosed,2026-02-01
Accountant / HR Officer,Bhurtel Law Services,More than 3 years,Mid Level,Not Disclosed,2026-02-02
Retail Salesperson,JJ Marble,More than 1 year,Mid Level,Not Disclosed,2026-02-02
Front Desk Officer,Global Management Foundation,More than 1 year,Mid Level,"NRs. 20,000 - 25,000 Monthly",2026-02-02
Sales and Marketing Executive,Nameru Trade,More than 1 year,Mid Level,"NRs. 25,000 - 40,000 Monthly",2026-02-02
Project Manager,Gaura Construction,More than 10 years,Top Level,Not Disclosed,2026-02-02
Sr. Civil Project Manager - High Rise Projects,RV Group,More than 15 years,Top Level,Not Disclosed,2026-02-02
Content Writer,Discovery World Trekking,More than 2 years,Mid Level,Not Disclosed,2026-02-02
Graphic and Motion Designer,Popeye Studios,More than 2 years,Mid Level,"NRs. 25,000 - 40,000 Monthly",2026-02-02
Senior .NET Developer,ByProxy Nepal (Blinqlab),More than 3 years,Senior Level,Not Disclosed,2026-02-02
Graphic Designer,Megatech Trade Group,More than 2 years,Mid Level,Not Disclosed,2026-02-02
Accountant / HR Officer (Night Shift),Bhurtel Law Services,More than 3 years,Mid Level,Not Disclosed,2026-02-02
Front Desk Officer,Upendra Devkota Memorial National Institute of Neurological and Allied Sciences,More than 1 year,Entry Level,Not Disclosed,2026-02-02
Business Analyst,Nepal Digital Payments Company Limited,Not Required,Mid Level,Not Disclosed,2026-02-02
Lead - Corporate and Project Sales,Brilliant,More than 5 years,Senior Level,"NRs. 80,000 - 120,000 Monthly",2026-02-02
Lead – Branding and Marketing,Brilliant,More than 5 years,Senior Level,"NRs. 80,000 - 130,000 Monthly",2026-02-02
Accountant,IEC College of Art and Fashion,More than 1 year,Mid Level,Not Disclosed,2026-02-03
Intern,E-Spot Nepal,Not Required,Entry Level,Not Disclosed,2026-02-03
Marketing Associate,Merojob,More than 1 year,Entry Level,"NRs. 22,000 - 25,000 Monthly",2026-02-03
Area Sales Manager,Nepal MegaSoft Trading,More than 2 years,Mid Level,Not Disclosed,2026-02-03
Tuition Teacher,Bodhisattva Vihara (BV),More than 1 year,Mid Level,Not Disclosed,2026-02-03
Marketing Officer,Brihat Group,More than 1 year,Mid Level,Not Disclosed,2026-02-03
Admin Officer,Brihat Group,More than 1 year,Mid Level,Not Disclosed,2026-02-03
Receptionist,Dream Next Education Foundation,Equal to 2 years,Mid Level,Not Disclosed,2026-02-03
Civil Engineer,Infinite Engineering Solution,More than 2 years,Mid Level,Not Disclosed,2026-02-03
Social Media Manager,Sonam Gear,More than 3 years,Mid Level,"NRs. 30,000 Monthly",2026-02-04
Distributor Sales Representative (DSR) - Inside Valley,Nepal MegaSoft Trading,Not Required,Entry Level,Not Disclosed,2026-02-04
Sales and Marketing Officer,RV Group,More than 5 years,Senior Level,Not Disclosed,2026-02-04
Sales and Marketing Manager - Real Estate,RV Group,More than 8 years,Senior Level,Not Disclosed,2026-02-04
Sales Representative,Gadgetbyte Nepal,More than 2 years,Mid Level,"NRs. 20,000 - 30,000 Monthly",2026-02-04
Junior Accountant,Gadgetbyte Nepal,More than 1 year,Entry Level,"NRs. 20,000 - 35,000 Monthly",2026-02-04
SEO Manager,Gadgetbyte Nepal,More than 2 years,Mid Level,"NRs. 40,000 - 65,000 Monthly",2026-02-04
Front Desk Associate,Gurukul Commerce Academy,Not Required,Entry Level,Not Disclosed,2026-02-04
Branch In-Charge,Gurukul Commerce Academy,More than 1 year,Mid Level,Not Disclosed,2026-02-04
Social Media Executive,Megatech Trade Group,More than 1 year,Mid Level,Not Disclosed,2026-02-04
Trade and Retail Marketing Executive,Megatech Trade Group,More than 2 years,Mid Level,Not Disclosed,2026-02-04
Telemarketing Executive,Megatech Trade Group,More than 2 years,Mid Level,Not Disclosed,2026-02-04
Sales Officer,Megatech Trade Group,More than 2 years,Mid Level,"NRs. 30,000 Monthly",2026-02-04
Intern – Sales Intern,Megatech Trade Group,Not Required,Entry Level,"NRs. 15,000 Monthly",2026-02-04
Primary School Coordinator,Malpi International School,More than 2 years,Mid Level,Not Disclosed,2026-02-04
Primary Grade Teacher,Malpi International School,More than 2 years,Mid Level,Not Disclosed,2026-02-04
School Counselor,Malpi International School,More than 2 years,Mid Level,Not Disclosed,2026-02-04
Instructor,Malpi International School,More than 1 year,Mid Level,Not Disclosed,2026-02-04
Tracking Manager,Agro Thai Foods,Less than 1 year,Entry Level,"NRs. 40,000 Monthly",2026-02-04
Sales Officer,Agro Thai Foods,Equal to 1 year,Mid Level,Not Disclosed,2026-02-04
Area Sales Manger,Agro Thai Foods,More than 3 years,Senior Level,Not Disclosed,2026-02-04
Distributor Salesman (DS),Agro Thai Foods,More than 1 year,Senior Level,Not Disclosed,2026-02-04
Search Engine Optimization Specialist,Gadgetbyte Nepal,More than 2 years,Mid Level,"NRs. 40,000 - 65,000 Monthly",2026-02-04
Distributor Sales Representative (DSR),Nepal MegaSoft Trading,Not Required,Entry Level,Not Disclosed,2026-02-04
Senior Counselor,Education Asia,More than 1 year,Senior Level,"NRs. 60,000 - 75,000 Monthly",2026-02-04
Marketing Manager,A Reputed Company,More than 5 years,Senior Level,Not Disclosed,2026-02-04
Business Development Executive,A Reputed Company,More than 3 years,Senior Level,"NRs. 800,000 - 1,000,000 Yearly",2026-02-04
Senior Graphic Designer,Empire Sports Management,More than 5 years,Senior Level,Not Disclosed,2026-02-04
Chartered Accountant (CA),Empire Sports Management,More than 1 year,Mid Level,Not Disclosed,2026-02-04
Graphic Designer,Megatech Trade Group,More than 2 years,Mid Level,Not Disclosed,2026-02-04
Swimming Instructor,Swimming Everyday Nepal,More than 3 years,Mid Level,Not Disclosed,2026-02-05
Counselor,Grace International Group,More than 2 years,Mid Level,Not Disclosed,2026-02-05
Secretary and Documentation Officer,Nepal HR Solutions,More than 2 years,Mid Level,Not Disclosed,2026-02-05
Accountant,Nepal HR Solutions,More than 2 years,Mid Level,Not Disclosed,2026-02-05
Bookkeeper,Accounts Processing Centre,More than 3 years,Mid Level,"NRs. 75,000 Monthly",2026-02-05
Executive Assistant,Hospitec Enterprises,More than 5 years,Senior Level,Not Disclosed,2026-02-05
Senior Bookkeeper,Accounts Processing Centre,More than 3 years,Senior Level,"NRs. 75,000 Monthly",2026-02-05
Senior Accountant / Chartered Accountant (CA),Waldo Dynasty Entertainment Casino,More than 5 years,Senior Level,Not Disclosed,2026-02-05
Motion Graphics / Video Editor,Gadgetbyte Nepal,More than 3 years,Mid Level,Not Disclosed,2026-02-05
Marketing Supervisor,Trucare Pharmacy And Beauty Store,More than 3 years,Senior Level,Not Disclosed,2026-02-05
Inventory Officer,Trucare Pharmacy And Beauty Store,More than 3 years,Mid Level,Not Disclosed,2026-02-05
IME Supervisor,Alfa Health Care and Diagnostic Center,More than 1 year,Mid Level,Not Disclosed,2026-02-05
Senior Linux Infrastructure Engineer,Simjung,More than 5 years,Senior Level,Not Disclosed,2026-02-05
QA Automation Engineer (Python),Simjung,More than 3 years,Mid Level,Not Disclosed,2026-02-05
Senior Backend Engineer,Global Corporate Tech,More than 2 years,Senior Level,"NRs. 55,000 - 75,000 Monthly",2026-02-05
Office Assistant / Office Administrator,Big Dutchman,More than 2 years,Mid Level,Not Disclosed,2026-02-06
Dairy Production Manager,Pepe Icecream and Dairy,More than 3 years,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-02-06
IT Officer,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-02-06
Sales Manager,Medi Solution International,More than 3 years,Mid Level,Not Disclosed,2026-02-06
Showroom Sales Executive,Evolution Trading,Less than 1 year,Entry Level,"NRs. 25,000 - 30,000 Monthly",2026-02-06
Operations Incharge,Mero Storage,More than 1 year,Mid Level,"NRs. 28,000 - 33,000 Monthly",2026-02-06
Finance Officer,Shanta Foundation Nepal,More than 5 years,Mid Level,"NRs. 40,000 Monthly",2026-02-07
Electrical Engineer,Roshan Construction,More than 6 years,Senior Level,Not Disclosed,2026-02-07
Architect / Draftsman,Roshan Construction,More than 5 years,Senior Level,Not Disclosed,2026-02-07
Civil Engineer,Roshan Construction,More than 6 years,Senior Level,Not Disclosed,2026-02-07
Human Resource Manager,Jammy's Bubble Tea,More than 4 years,Senior Level,Not Disclosed,2026-02-07
Franchise Operations – Assistant Manager,Jammy’s Bubble Tea,More than 2 years,Mid Level,Not Disclosed,2026-02-07
Junior Architect,Archiplan-SBT,Equal to 1 year,Entry Level,Not Disclosed,2026-02-07
AutoCAD Draftsman,B-Tech Industries,More than 1 year,Mid Level,Not Disclosed,2026-02-07
Mechanical Engineer,B-Tech Industries,More than 1 year,Mid Level,Not Disclosed,2026-02-07
Credit Control Lead,G4S Security Services Nepal,More than 3 years,Mid Level,Not Disclosed,2026-02-07
Sr. HR Officer,A Hospital,More than 5 years,Senior Level,"NRs. 50,000 Monthly",2026-02-07
Structural Designer / Drafter - Revit,Himalayan Ridge Engineering,More than 3 years,Mid Level,"NRs. 70,000 Monthly",2026-02-07
Administrative / Paralegal Officer,Ghothane Lawyers,More than 2 years,Mid Level,"NRs. 25,000 Monthly",2026-02-08
Content Writer,Ghothane Lawyers,More than 2 years,Mid Level,Not Disclosed,2026-02-08
Office Secretary,Ghothane Lawyers,More than 1 year,Mid Level,"NRs. 25,000 Monthly",2026-02-08
Area Sales Manager,Nepal MegaSoft Trading,More than 2 years,Mid Level,Not Disclosed,2026-02-08
Distributor Sales Representative (DSR),Nepal MegaSoft Trading,Not Required,Entry Level,Not Disclosed,2026-02-08
Tracking Officer,Agro Thai Foods,Less than 1 year,Entry Level,"NRs. 40,000 Monthly",2026-02-08
People and Organisational Development (POD) Manager,WaterAid Nepal,More than 5 years,Mid Level,Not Disclosed,2026-02-09
MIS Officer,Prime Ceramics,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Reservation / Ticketing Executive,A Travel Company,More than 3 years,Mid Level,Not Disclosed,2026-02-09
Visual Arts Teacher,Premier International School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Branch Head,WorldLink Communications,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Business Growth Associate,WorldLink Communications,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Channel Partner Officer,WorldLink Communications,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Portfolio Research Analyst,Bias Investors,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Math Teacher - Secondary Level,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Science Teacher - Primary Level,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Nepali Teacher – Middle School,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
English Teacher – Middle School,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Math Teacher – Primary Level,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Nepali Teacher – Primary Level,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Science Teacher – Middle School,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Math Teacher – Middle School,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
English Teacher – Primary Level,Millsberry School,More than 2 years,Mid Level,Not Disclosed,2026-02-09
Graphic Designer,Himalayan Reach Consulting,More than 1 year,Mid Level,Not Disclosed,2026-02-09
Video Editor,Himalayan Reach Consulting,More than 1 year,Mid Level,Not Disclosed,2026-02-09
Front Desk Officer,Elite Grand School,More than 1 year,Mid Level,Not Disclosed,2026-02-10
Manager - Hydropower Project,NRN Global Energy,More than 10 years,Senior Level,Not Disclosed,2026-02-10
Client Service Executive,Facts Research and Analytics,Less than 2 years,Entry Level,Not Disclosed,2026-02-10
Senior Executive – Accounts,Flash Freight Logistics,More than 5 years,Senior Level,Not Disclosed,2026-02-10
Senior Programmer,Crupee Software Development,More than 8 years,Senior Level,Not Disclosed,2026-02-10
Senior Executive – IT and Systems,Ashutosh Brokerage and Securities,More than 3 years,Mid Level,"NRs. 50,000 - 70,000 Monthly",2026-02-10
Technical Advisor,GIZ,More than 5 years,Mid Level,Not Disclosed,2026-02-10
Poster Staff,A Company,Not Required,Entry Level,"NRs. 21,984 Monthly",2026-02-10
Counselor,American Educational Research & Training Center,Equal to 1 year,Mid Level,"NRs. 25,000 - 35,000 Monthly",2026-02-10
Field Sales Representative,Raymiyo Trading,More than 1 year,Mid Level,Not Disclosed,2026-02-11
Operation Head / Manager,River Group,More than 5 years,Senior Level,Not Disclosed,2026-02-11
Social Media Manager / Coordinator,A Leading Beauty Company,More than 2 years,Mid Level,Not Disclosed,2026-02-11
Sr. Civil Project Manager - High Rise Projects,RV Group,More than 15 years,Top Level,Not Disclosed,2026-02-11
Sales and Marketing Officer,RV Group,More than 3 years,Senior Level,Not Disclosed,2026-02-11
Sales and Marketing Manager - Real Estate,RV Group,More than 8 years,Senior Level,Not Disclosed,2026-02-11
School Counselor,Malpi International School,More than 2 years,Mid Level,Not Disclosed,2026-02-11
Instructor,Malpi International School,More than 1 year,Mid Level,Not Disclosed,2026-02-11
Primary Grade Teacher,Malpi International School,More than 2 years,Mid Level,Not Disclosed,2026-02-11
Primary School Coordinator,Malpi International School,More than 2 years,Mid Level,Not Disclosed,2026-02-11
Payroll Executive,Bayar Hughes Consulting Private Limited,More than 1 year,Mid Level,Not Disclosed,2026-02-12
Sales Associate,Chhingu Spare Parts,Not Required,Entry Level,Not Disclosed,2026-02-12
IT / Mathematics Teacher,Numbur Vocational Training Centre,More than 3 years,Mid Level,Not Disclosed,2026-02-12
IELTS / PTE Instructor,Right & Associates Education,More than 2 years,Mid Level,Not Disclosed,2026-02-12
Guest Relations Officer,Stemz Healthcare Center,Equal to 1 year,Entry Level,Not Disclosed,2026-02-12
Payroll Executive,Bayar Hughes Consulting,More than 1 year,Mid Level,Not Disclosed,2026-02-12
Secondary Level Math Teacher,Yangri Academic Center,More than 1 year,Mid Level,Not Disclosed,2026-02-12
Secretary and Documentation Officer,Nepal HR Solutions,More than 2 years,Mid Level,Not Disclosed,2026-02-12
Tuition Teacher,Bodhisattva Vihara (BV),More than 1 year,Mid Level,Not Disclosed,2026-02-12
"Internship, Placement and Alumni Officer",The British College,More than 2 years,Mid Level,Not Disclosed,2026-02-13
Accountant,Goyal Metal Industries,More than 2 years,Mid Level,Not Disclosed,2026-02-13
Junior Media Buyer / Creative Strategist,Allipse Ecom,More than 2 years,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-02-13
Accountant,Connect H.R.,More than 2 years,Mid Level,Not Disclosed,2026-02-13
Teacher,Swastik Pathshala,More than 3 years,Mid Level,"NRs. 50,000 - 70,000 Monthly",2026-02-13
Vice Principal,Euro School Hattigauda,More than 10 years,Top Level,Not Disclosed,2026-02-13
"Internship, Placement and Alumni Academic Officer",The British College,More than 2 years,Mid Level,Not Disclosed,2026-02-13
Senior Graphic Designer,Empire Sports Management,More than 5 years,Senior Level,Not Disclosed,2026-02-13
International Tele Sales Executive,Clear Bills,More than 1 year,Mid Level,"NRs. 20,000 - 50,000 Monthly",2026-02-14
Credit Sales Executive,Evo Beverages,More than 1 year,Mid Level,"NRs. 23,000 - 25,000 Monthly",2026-02-14
Marketing and Event Officer - Hospitality Division,Alfa Beta Institute,More than 2 years,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-02-14
Sales Officer,E.G Infra,More than 2 years,Mid Level,Not Disclosed,2026-02-14
Pharmacy Manager,A Hospital,More than 5 years,Mid Level,"NRs. 50,000 - 70,000 Monthly",2026-02-14
Civil Engineer,A Hospital,More than 5 years,Mid Level,"NRs. 50,000 - 70,000 Monthly",2026-02-14
Account Officers,A Hospital,Equal to 5 years,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-02-14
Marketing Associate,Merojob,More than 2 years,Entry Level,"NRs. 25,000 - 30,000 Monthly",2026-02-14
Social Media Executive,A Hospital,More than 2 years,Entry Level,"NRs. 30,000 - 35,000 Monthly",2026-02-15
E-commerce Website and Digital Operations Coordinator,Aurelia Projects,More than 3 years,Mid Level,"NRs. 70,000 - 80,000 Monthly",2026-02-16
Critical facility Operations Engineer (L1),Data World,Less than 3 years,Mid Level,"NRs. 35,000 - 50,000 Monthly",2026-02-16
Procurement Officer,A Hospital,More than 4 years,Mid Level,"NRs. 40,000 Monthly",2026-02-16
Hospital Director,A Hospital,Equal to 15 years,Top Level,"NRs. 200,000 - 300,000 Monthly",2026-02-16
Social Media Executive,Green Life Experience,More than 1 year,Mid Level,"NRs. 20,000 - 25,000 Monthly",2026-02-16
Critical Facility Operations Engineer (L1),Data World,More than 1 year,Mid Level,"NRs. 35,000 - 50,000 Monthly",2026-02-16
HR Manager,Kathmandu International Hospital,More than 5 years,Senior Level,Not Disclosed,2026-02-16
